,model,window_size,runtime,auc,precision,recall,specificity,f1-score,fold,type,dataset
128,Catch22,7,12458.0,99.0,95.58,83.57,99.63,89.18,2,Time Series Models,SisFall
129,Catch22,7,13179.0,99.0,100.0,84.03,100.0,91.32,4,Time Series Models,SisFall
130,Hydra,7,36567.0,97.0,95.83,93.88,99.58,94.85,0,Time Series Models,SisFall
131,Hydra,7,36961.0,96.0,95.69,92.78,99.42,94.21,4,Time Series Models,SisFall
132,Hydra,7,35537.0,99.0,99.71,98.87,99.95,99.29,1,Time Series Models,SisFall
133,Hydra,7,35917.0,99.0,95.45,99.21,99.72,97.3,3,Time Series Models,SisFall
134,Hydra,7,32767.0,94.0,96.79,87.44,99.72,91.88,2,Time Series Models,SisFall
135,MultiRocketHydra,7,41272.0,96.0,98.9,91.33,99.89,94.96,0,Time Series Models,SisFall
136,MultiRocketHydra,7,38090.0,100.0,100.0,100.0,100.0,100.0,1,Time Series Models,SisFall
137,MultiRocketHydra,7,38403.0,95.0,96.89,90.34,99.72,93.5,2,Time Series Models,SisFall
138,MultiRocketHydra,7,40392.0,100.0,100.0,99.21,100.0,99.6,3,Time Series Models,SisFall
139,MultiRocketHydra,7,42070.0,96.0,100.0,91.25,100.0,95.43,4,Time Series Models,SisFall
140,QUANT,7,4362.0,100.0,97.73,97.73,99.59,97.73,1,Time Series Models,SisFall
141,QUANT,7,3531.0,99.0,87.44,87.44,98.78,87.44,2,Time Series Models,SisFall
142,QUANT,7,4411.0,100.0,94.33,93.37,99.42,93.85,0,Time Series Models,SisFall
143,QUANT,7,5083.0,100.0,100.0,96.06,100.0,97.99,3,Time Series Models,SisFall
144,QUANT,7,5871.0,100.0,98.35,90.87,99.79,94.47,4,Time Series Models,SisFall
145,Rocket,7,8657.0,99.0,90.65,99.21,99.39,94.74,3,Time Series Models,SisFall
146,Rocket,7,8666.0,99.0,100.0,98.58,100.0,99.29,1,Time Series Models,SisFall
147,Rocket,7,8865.0,93.0,100.0,85.93,100.0,92.43,4,Time Series Models,SisFall
148,Rocket,7,9225.0,95.0,88.94,90.31,98.83,89.62,0,Time Series Models,SisFall
149,Rocket,7,8542.0,94.0,97.84,87.44,99.81,92.35,2,Time Series Models,SisFall
